Mice,Group,Baseline,Final
9881M1,CHOW,25.7,27.0
9881M2,CHOW,28.5,26.9
9881M4,CHOW,25.9,29.2
9881M5,CHOW,27.9,28.8
9882M1,CHOW,26.5,28.0
9882M2,CHOW,29.3,29.6
9882M3,CHOW,30.4,32.8
9882M4,CHOW,29.0,30.3
9882M5,CHOW,26.0,27.0
891M1,CHOW,31.4,31.4
793M1,CHOW,29.4,29.0
159M1,CHOW,27.0,28.7
891M2,CHOW,31.0,31.0
793M2,CHOW,30.0,30.0
159M2,CHOW,28.8,29.5
891M3,CHOW,29.4,29.4
793M3,CHOW,30.2,28.6
159M3,CHOW,24.6,29.3
891M4,CHOW,29.3,29.3
793M4,CHOW,28.3,29.3
159M4,CHOW,29.0,29.6
891M5,CHOW,28.2,28.2
793M5,CHOW,28.0,27.0
159M5,CHOW,29.0,27.7
181M1,CHOW,28.5,26.7
572M1,CHOW,29.9,28.0
181M2,CHOW,28.0,27.5
572M2,CHOW,25.0,27.8
181M3,CHOW,27.7,26.0
572M3,CHOW,26.2,27.8
181M4,CHOW,27.5,26.9
572M4,CHOW,28.2,27.8
181M4,CHOW,27.5,29.8
572M5,CHOW,26.7,27.7
BM2M1,CHOW,22.0,30.0
BM2M2,CHOW,21.0,29.6
BM2M4,CHOW,21.7,29.3
BM2M5,CHOW,21.0,29.5
BM4M1,CHOW,23.3,29.6
BM4M2,CHOW,27.5,32.3
BM4M4,CHOW,26.2,32.3
BM2M3,CHOW,15.4,27.3
182M5,CHOW,,27.8
182M4,CHOW,,27.7
BM4M5,CHOW,27.2,33.4
